序号,名称
6,起步急加速
8,急加速
7,急减速
9,急刹车
15,斑马线不文明礼让
14,斑马线超速
18,违规使用手刹
1,停站N档违规
16,违规使用N档
22,不规范转弯
11,车辆未停稳开车门
12,车辆起步不关车门
5,空档滑行
4,熄火滑行
19,不文明鸣笛
3,安全带行为
21,不规范进站
20,不规范出站
10,急停
13,门开禁启开关
2,停车不挂N档
17,不规范开关门
23,安全启动
24,违规使用空调
25,平路不规范行为
26,上坡不规范行为
27,下坡不规范行为
28,违规使用总电
29,路口大油门
30,进站违规制动
33,区间超速
34,全局超速
36,左转弯未刹车
37,右转弯未刹车
